domaine,section,url,sentence,caracter_count,length_class
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/06/10/fukki-simili-yi-soppi-amerig-ba-faww/,PAAP AALI JÀLLO,15,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/06/10/yow-koronaa/,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/17/afrig-ak-koronaa-afrig-ginnaaw-koronaa/,USÉYNU BÉEY,11,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/17/bes-bu-mbas-mi-xeyee-ne-mes/,ABDULAAY SEKK,13,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/17/jang-ak-jangale-ci-jamonoy-mbas/,SAFIYETU BÉEY,13,0->50
https://www.defuwaxu.com,Gis-Gis,https://www.defuwaxu.com/2020/01/03/ngalla-bunu-jaawale-eco-ak-eco/,SÉEX TIIJAAN JÉEY (Xeltukat/Enda-Cacid),39,0->50
https://www.defuwaxu.com,Li fës,https://www.defuwaxu.com/2019/11/21/mag-sama-gor-du-ragal-du-wor/,Ci tekkib Paap Aali Jàllo,25,0->50
https://www.defuwaxu.com,Gis-Gis,https://www.defuwaxu.com/2019/11/21/afrig-lu-la-tax-a-des-ginnaaw/,"Bare na li may toog man kenn, di yónni samam xel, mu wëral ma àddina sépp ak li ci biir, fu nekk mu ne fa naam-daraame, yër la fa nekk, dellusi. Waaye, li ëpp ci samay xalaat ak i seetlu, Afrig la ñeel, sunu Afrig ak ëllëgam. Bu ko defee, sama xel mi day faral di wër réewi Afrig yi ba ñu daj, bunt bu dul buntu jinne mu fëgg fa, dugg ci biir kër gi, jàngat la fay xew, doxalinu njiit ya fa nekk ak taxawaayu askan wa. Muy politig, di koom-koom, aada ak cosaan, njàng mi walla ni yoon doxe, fànn bu ci nekk mu saytu la. Ndeysaan, saa yu sama xel mi delsee ci tukkeem boobu, sarica bu naqadi la may indil. Ndaxte, liy màndargaal daanaka réewi Afrig yépp mooy mbir yii may limsi : ndóol, xiif ak mar, ay xarey biir-réew yu dul jeex, ger, njàng mu yàqu yaxeet, ñàkkub liggéey, añs. Te, màndarga yii, fépp fu ñu daje, tumuraanke lañuy jur. Ma jàpp ni sabab yi bare nañ. Waaye, dinaa leen baaxe, ci sama xalaat mu gàtt, sabab yi ma foog ne, ñoo gën a tax Afrig des ginnaaw.",968,950->1000
https://www.defuwaxu.com,Gis-Gis,https://www.defuwaxu.com/2019/11/21/demb-ak-teyu-doxandeemi-itali-yi/,"“Damay sànni ay kàddu yu néew ci waxtaan wi, jéem a joxe samay xalaat ci li nuy dund fii ci Itali.",98,50->100
https://www.defuwaxu.com,Gis-Gis,https://www.defuwaxu.com/2019/11/21/waaw-ana-ku-boom-omar-bolonden-joob/,"Omar Bolondeŋ Jóob a ngi juddu ci 10eelu fan ci weeru sàttumbar 1946 ca Ñaame, péeyub réewum Niseer. Mu ngi faatu ci 11eelu fan ci weeru Mee 1973 ca kaso ba woon ca dunub Gore. Omar Bolondeŋ Jóob, nag, kàngam la woon ci biir kàngam yi, jànge ca lekkoolu digg-dóom ji ñu duppe Louis-le-Grand ca Pari. Bim fa génnee, mu tàbbi ca daara ju mag joojee ñuy wax École normale supérieure de Saint-Cloud. Jamono jooju, waxuma la sax am lijaasa ca daara joojee, waaye jànge fa rekk doyoon na ndam, dib sag bu réy a réy ci boroom. Bokk na ci liy màndargaal dayo daara jooju, mooy ne ki jëkk a jiite réewum Senegaal, Lewópóol Sedaar Seŋoor, ñu ràññee ko lool ci wàllum ladab ak mbind, bëggoon na fa dugg, waaye daa lajj. Muy biral ne, daara jooju, ab como daawu fa teg tànk. Am na sax ñuy wax ne, Seŋoor da koo iñaane woon ndam loola, ragal ne dina ko may fitu wujje ak moom ci làngu politig gi, ñeel Senegaal.",898,850->900
https://www.defuwaxu.com,COKKAASU ODIA,https://www.defuwaxu.com/2020/06/10/cokkaasu-odia-7/,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,COKKAASU ODIA,https://www.defuwaxu.com/2020/05/05/cokkaasu-odia-6/,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,COKKAASU ODIA,https://www.defuwaxu.com/2020/04/19/ndimbalu-xeex-koronaa/,“Kuy seetlu door a wax du juum,30,0->50
https://www.defuwaxu.com,COKKAASU ODIA,https://www.defuwaxu.com/2020/03/24/tisooli-ak-soj-rekk/,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,COKKAASU ODIA,https://www.defuwaxu.com/2020/01/02/noo-ban-noo-lank/,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,NATAALI AYUBÉS BI,https://www.defuwaxu.com/2020/03/24/sey-xare-la/,“Kuy seetlu door a wax du juum,30,0->50
https://www.defuwaxu.com,NATAALI AYUBÉS BI,https://www.defuwaxu.com/2019/05/15/nataali-ayubes-bi-3/,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,NATAALI AYUBÉS BI,https://www.defuwaxu.com/2019/05/15/nataali-ayubes-bi/,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,NATAALI AYUBÉS BI,https://www.defuwaxu.com/2019/05/15/nataali-ayubes-bi-2/,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,COKKAASU ODIA,https://www.defuwaxu.com/2019/05/15/ker-serin-nomination/,“Kuy seetlu door a wax du juum,30,0->50
https://www.defuwaxu.com,WAXLEEN SEEN XALAAT,https://www.defuwaxu.com/2019/03/18/mbemestal-ci-jaar-jaaru-allaaji-omar-taal/,"Àllaaji Omar Taal mi juddu ci atum 1796 ca Fuuta, bokk na ci ñi siggil ba fàww nit ku ñuul ci lislaam. Nekkul woon rekk njiitul diine ak tariixa, wànte boroom xam-xam bu gëmoon der bu ñuul la, te fonk dénduw Afrig gépp.",219,200->250
https://www.defuwaxu.com,Li fës,https://www.defuwaxu.com/2020/06/10/usmaan-sonko-maki-sall-cuune-la-di-def-yefi-cuune/,"(Xaaj bu njëkku laaj-tontook Ndey Koddu Faal, Paap Aali Jàllo ak Daawuda Géy)",77,50->100
https://www.defuwaxu.com,Li fës,https://www.defuwaxu.com/2020/06/10/usmaan-sonko-maki-sall-cuune-la-di-def-yefi-cuune/#respond,"(Xaaj bu njëkku laaj-tontook Ndey Koddu Faal, Paap Aali Jàllo ak Daawuda Géy)",77,50->100
https://www.defuwaxu.com,COKKAASU ODIA,https://www.defuwaxu.com/2020/06/10/cokkaasu-odia-7/#respond,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/06/10/fukki-simili-yi-soppi-amerig-ba-faww/#respond,PAAP AALI JÀLLO,15,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/06/10/yow-koronaa/#respond,SAFIYETU BÉEY Céy Koronaa ! Doomu-jàngoro bii yëngal na jamono. Ku mënoon a gëm lu ndawe nii dina noot àddina sépp ? Tax na ba kenn ñemeetul a...,145,100->150
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/17/afrig-ak-koronaa-afrig-ginnaaw-koronaa/#respond,USÉYNU BÉEY,11,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/17/bes-bu-mbas-mi-xeyee-ne-mes/#respond,ABDULAAY SEKK,13,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/17/jang-ak-jangale-ci-jamonoy-mbas/#respond,SAFIYETU BÉEY,13,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/17/gattalug-xibaar-yi-2/,(Ayu-bésu 4eel jàpp 10eelu fan ci weeru Me),43,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/17/gattalug-xibaar-yi-2/#respond,(Ayu-bésu 4eel jàpp 10eelu fan ci weeru Me),43,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/05/porfesoor-musaa-seydi-bayyi-wiris-bi-law-musiba-la-nu-naroon-a-jural/,"Bàyyi wirisu Covid-19 bi law ngir sabab kiiraayu-mbooloo la Doktoor Paap Musaa Coor digle ngir xeex mbas mi. Waaye PorfesoorMusaa Séydi mi jiite Banqaasu feebar yiy wàlle ca loppitaanu Faan, àndul ak xalaat boobule. Lii la Porfesoor Séydi wax :",244,200->250
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/05/porfesoor-musaa-seydi-bayyi-wiris-bi-law-musiba-la-nu-naroon-a-jural/#respond,"Bàyyi wirisu Covid-19 bi law ngir sabab kiiraayu-mbooloo la Doktoor Paap Musaa Coor digle ngir xeex mbas mi. Waaye PorfesoorMusaa Séydi mi jiite Banqaasu feebar yiy wàlle ca loppitaanu Faan, àndul ak xalaat boobule. Lii la Porfesoor Séydi wax :",244,200->250
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/05/gattalug-xibaar-yi/,AMI MBENG,9,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/05/05/gattalug-xibaar-yi/#respond,AMI MBENG,9,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/04/28/bu-dul-woon-doxandeem-yi-mbas-mi-du-naane-neex-afrig-doktoor-seydu-jallo-2/,Paap Aali Jàllo,15,0->50
https://www.defuwaxu.com,Xibaar,https://www.defuwaxu.com/2020/04/28/bu-dul-woon-doxandeem-yi-mbas-mi-du-naane-neex-afrig-doktoor-seydu-jallo-2/#respond,Paap Aali Jàllo,15,0->50
https://www.defuwaxu.com,Li fës,https://www.defuwaxu.com/2020/04/28/fan-lanu-jem-ak-nakki-bill-gates-yi/,(USÉYNU BÉEY),13,0->50
https://www.defuwaxu.com,Li fës,https://www.defuwaxu.com/2020/04/28/fan-lanu-jem-ak-nakki-bill-gates-yi/#respond,(USÉYNU BÉEY),13,0->50
https://www.defuwaxu.com,Bàyyi ci xel,https://www.defuwaxu.com/2019/03/26/sandikaa-njabootu-alfabetisaasiyon-juddu-na/,"Askanu Senegaal dafa mës a weg i làmmiñam, làmmiñi réew mépp. Yàgg na leen a jàppe niy bokk-moomeelam. Loolu, deesu ko nàttable. Naam, ñoo ngiy jëfandikoo, yenn saa yi, yeneeni làkk ngir jàng walla jokkook àddina si ; waaye terewul ne, ci làmmiñi réew mi lañuy faje li ëpp ci seeni soxla. Waaw, ci lañuy wax seen xalaat, di ci waxtaan, di ci jokkoo aka werante. Kon nag, doomi Senegaal fonk nañu lool seeni làmmiñ, rawatina wolof bi nga xamante ne mooy lëkkale sunu waaso yépp.",477,450->500
https://www.defuwaxu.com,Bàyyi ci xel,https://www.defuwaxu.com/2019/03/26/sandikaa-njabootu-alfabetisaasiyon-juddu-na/#respond,"Askanu Senegaal dafa mës a weg i làmmiñam, làmmiñi réew mépp. Yàgg na leen a jàppe niy bokk-moomeelam. Loolu, deesu ko nàttable. Naam, ñoo ngiy jëfandikoo, yenn saa yi, yeneeni làkk ngir jàng walla jokkook àddina si ; waaye terewul ne, ci làmmiñi réew mi lañuy faje li ëpp ci seeni soxla. Waaw, ci lañuy wax seen xalaat, di ci waxtaan, di ci jokkoo aka werante. Kon nag, doomi Senegaal fonk nañu lool seeni làmmiñ, rawatina wolof bi nga xamante ne mooy lëkkale sunu waaso yépp.",477,450->500
